chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,incompleteTrials,key_apology.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[63,151,104,178,137,181,4,72,78,183,20,29,141,111,157,58,154,120,174,85,124,48,95,98,69,199,116,60,192,182,164,177,51,131,146,138,87,100,115,36,81,163]",zsc,t,2.2531,space,1.3521,space,0.5504,space,0.5882,space,0.7594,space,2.2156,space,0.3699,,1,3.601,1,0.1431,1,0.1849,1,0.1831,0,0,0,0,1,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,space,0.9422,[],0.249369303,-0.321535012,0,0,0,0,0,0,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,[],0.249369303,-0.321535012,0,0,0,0,1,1,1,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,[],0.249369303,-0.321535012,0,0,0,0,2,2,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,Greater,Smaller,0,-0.226672363,-0.520095486,1,0,0,LeftButton,"[""LeftButton""]",,,,4.983825684,18.4905,space,4.4489,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,Smaller,Greater,,0.513753255,-0.012275752,0,0,0,,[],,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,1,RandomDot3.png,No answer,19,20,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,Greater,Smaller,,0.513753255,-0.012275752,0,0,0,,[],,,,,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,124,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,Smaller,Greater,,0.318294271,-0.535351563,1,0,0,RightButton,"[""RightButton""]",,,,4.981343587,4.0395,space,0.9177,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,Smaller,Greater,,0.499686686,-0.001070602,0,0,0,,[],,,,,,,,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,81,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,Smaller,Greater,,0.332434082,-0.482798032,1,0,0,RightButton,"[""RightButton""]",,,,,,,,63,2.5167,space,81,1.5297,,,,,,,,,,,1,both_wrong.png,2,RandomDot21.png,No answer,20,,1.2135,0,0,0,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,Greater,Smaller,,0.261885579,-0.49182581,1,0,0,RightButton,"[""RightButton""]",,,,,,,,59,2.3456,space,78,1.353,,,,,,,,,,,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,0.7021,0,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zsc,1,2024-04-29_15h45.51.138,interaction task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,Smaller,Greater,,0.310929362,-0.524978299,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,,,,,,0,both_right.png,1,RandomDot3.png,No answer,19,,,0,2,2,0,1
